"location","genotype","id","block","mean_DL","mean_PP","mean_Rad","mean_SWE","mean_Tmax","mean_Tmin","mean_VPD","mean_Tmean","mean_ET0_HS","mean_DT","mean_TT","total_GDD","total_PP","total_Tmean","HTC"
"pn","g2","OAC Virgo",1,15.218403003003,3.28837837837838,19.8354292901459,0,23.4797297297297,12.0345945945946,1.4278327027027,17.7571621621622,4.85553302545756,11.4451351351351,12.7571621621622,472.015,121.67,657.015,1.85186030760333
"pn","g2","OAC Virgo",2,15.2170160660661,3.44864864864865,19.672002132773,0,23.5581081081081,12.1783783783784,1.44037945945946,17.8682432432432,4.85790278317121,11.3797297297297,12.8682432432432,476.125,127.6,661.125,1.93004348648138
"pn","g2","OAC Virgo",3,15.222125308642,3.37972222222222,19.6125535482944,0,23.4002777777778,12.0711111111111,1.43368388888889,17.7356944444444,4.83014246755968,11.3291666666667,12.7356944444444,458.485,121.67,638.485,1.9056046735632
"pn","g2","OAC Virgo",4,15.222125308642,3.37972222222222,19.6125535482944,0,23.4002777777778,12.0711111111111,1.43368388888889,17.7356944444444,4.83014246755968,11.3291666666667,12.7356944444444,458.485,121.67,638.485,1.9056046735632
"pn","g3","OAC Moon",1,15.2123779239766,4.86105263157895,19.6417526993,0,23.5307894736842,12.1257894736842,1.43515657894737,17.8282894736842,4.85630707164079,11.405,12.8282894736842,487.475,184.72,677.475,2.72659507730913
"pn","g3","OAC Moon",2,15.2143155701754,3.35789473684211,19.7969358973237,0,23.5481578947368,12.0763157894737,1.43127184210526,17.8122368421053,4.86795908803429,11.4718421052632,12.8122368421053,486.865,127.6,676.865,1.88516173830823
"pn","g3","OAC Moon",3,15.2170160660661,3.44864864864865,19.672002132773,0,23.5581081081081,12.1783783783784,1.44037945945946,17.8682432432432,4.85790278317121,11.3797297297297,12.8682432432432,476.125,127.6,661.125,1.93004348648138
"pn","g3","OAC Moon",4,15.2252032539683,3.47628571428571,19.4752126443686,0,23.4065714285714,12.1788571428571,1.44338085714286,17.7927142857143,4.81843104183372,11.2277142857143,12.7927142857143,447.745,121.67,622.745,1.95376919927097
"wr","g1","OAC Constellation",1,15.3662334084084,2.26837837837838,18.3655554901486,0,25.1694594594595,14.0767567567568,1.63342837837838,19.6231081081081,5.04671985027171,11.0927027027027,14.6231081081081,541.055,83.93,726.055,1.15597303234603
"wr","g1","OAC Constellation",2,15.3662334084084,2.26837837837838,18.3655554901486,0,25.1694594594595,14.0767567567568,1.63342837837838,19.6231081081081,5.04671985027171,11.0927027027027,14.6231081081081,541.055,83.93,726.055,1.15597303234603
"wr","g1","OAC Constellation",3,15.3662334084084,2.26837837837838,18.3655554901486,0,25.1694594594595,14.0767567567568,1.63342837837838,19.6231081081081,5.04671985027171,11.0927027027027,14.6231081081081,541.055,83.93,726.055,1.15597303234603
"wr","g1","OAC Constellation",4,15.3662334084084,2.26837837837838,18.3655554901486,0,25.1694594594595,14.0767567567568,1.63342837837838,19.6231081081081,5.04671985027171,11.0927027027027,14.6231081081081,541.055,83.93,726.055,1.15597303234603
"wr","g2","OAC Virgo",1,15.3625165204678,2.29789473684211,18.2085582275947,0,25.1971052631579,14.1994736842105,1.64730368421053,19.6982894736842,5.03014687445961,10.9976315789474,14.6982894736842,558.535,87.32,748.535,1.16654531852218
"wr","g2","OAC Virgo",2,15.3548005555556,2.24275,18.31922440625,0,25.45275,14.30475,1.657511,19.87875,5.0862906344423,11.148,14.87875,595.15,89.71,795.15,1.12821480223857
"wr","g2","OAC Virgo",3,15.3662334084084,2.26837837837838,18.3655554901486,0,25.1694594594595,14.0767567567568,1.63342837837838,19.6231081081081,5.04671985027171,11.0927027027027,14.6231081081081,541.055,83.93,726.055,1.15597303234603
"wr","g2","OAC Virgo",4,15.3662334084084,2.26837837837838,18.3655554901486,0,25.1694594594595,14.0767567567568,1.63342837837838,19.6231081081081,5.04671985027171,11.0927027027027,14.6231081081081,541.055,83.93,726.055,1.15597303234603
"wr","g3","OAC Moon",1,15.3505157859079,2.39048780487805,18.2980707803537,0,25.4917073170732,14.3307317073171,1.65966536585366,19.9112195121951,5.09196222348492,11.1609756097561,14.9112195121951,611.36,98.01,816.36,1.20057327649566
"wr","g3","OAC Moon",2,15.3584155270655,2.30025641025641,18.1862984031744,0,25.3197435897436,14.2938461538462,1.65755358974359,19.8067948717949,5.05003724533974,11.0258974358974,14.8067948717949,577.465,89.71,772.465,1.16134711605057
